tradeprice_sido_n1,date,region_cd,tradeprice_sido,year,month,building_type,construction_realized_amount,cd,spirit_deposit_rate,exchange_rate,composite_stock_price_index,economy_growth,exchequer_bond_three,household_loan_all,mortgage_all,numberofnosells,unsalenum_c
69.5,2006-01-01,48000,69.4,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
64.6,2006-01-01,48000,64.5,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
69.7,2006-01-01,47000,69.3,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
94.2,2006-01-01,45000,94.2,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
80.0,2006-01-01,48000,80.0,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
82.9,2006-01-01,42000,82.9,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
62.1,2006-01-01,28000,62.0,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
94.6,2006-01-01,46000,94.4,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
65.3,2006-01-01,28000,65.2,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
67.6,2006-01-01,26000,67.5,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
73.5,2006-01-01,45000,73.5,2006,1,3,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
73.2,2006-01-01,46000,73.2,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
86.4,2006-01-01,43000,86.4,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
77.2,2006-01-01,41000,77.1,2006,1,7,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
62.4,2006-01-01,46000,62.4,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
66.9,2006-01-01,11000,66.3,2006,1,1,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
69.1,2006-01-01,41000,68.7,2006,1,0,4867793.0,4.15,4.06,971.0,1379.32,1.8,5.02,,,,
